A,P,B,R,v
0.963337524254,-0.00420021490413,0.519823020907,17.5165117535,0.123201327281
0.963192215264,0.0215779125143,0.510338926761,17.9370452404,0.123501846712
0.964743724713,0.034772445244,0.502661786037,19.1636777112,0.119256582499
0.963138530138,0.0399778806126,0.503003027551,18.295932568,0.119116696699
0.966123302141,0.0059495678424,0.517465626093,19.1160571323,0.120031797163
0.96707713767,0.0398014299037,0.477499589706,22.0805810309,0.121097909516
0.97041101727,0.064290955333,0.503561560174,22.8412296978,0.120514333327
0.967469373263,0.0216164204429,0.534226415351,18.9569671541,0.120184934406
0.964565563291,-0.00301758481951,0.564150622,15.8667989558,0.121588739597
0.963399238709,0.0558764126074,0.497761125019,18.7096835241,0.126042923863
0.963739691661,0.0421563028569,0.492694654947,19.1656656528,0.122763030361
0.96395087348,0.0629804511639,0.487492550505,19.5691491471,0.121038532682
0.967372817794,0.0951268807436,0.468224707366,22.875394121,0.124819097529
0.966937598732,0.120227140519,0.482473372651,21.6776029047,0.123849986512
0.965309034682,0.0521190170445,0.48791424932,20.3250317922,0.120314506164
0.965104738402,0.0795329536506,0.494751976071,19.8120923277,0.122974898192
0.965415213367,0.120115893942,0.478856224921,20.9209574845,0.123831677636
0.961765331718,0.0994697771492,0.485159172211,18.5528289496,0.120717109004
0.965654299528,0.0266447046532,0.491001791692,20.3525088912,0.117303840729
0.963978326076,0.0424603418221,0.493539867405,19.2482862989,0.116196209371
0.966193501298,0.0678472369685,0.46981008354,21.9657289515,0.113965410416
0.966603441268,0.0472612456678,0.462555793733,22.6981781072,0.114159723512
0.965227439752,0.0645722777366,0.458584453662,22.0281831539,0.112457611013
0.968027980288,0.100652608537,0.482390216883,22.4347718988,0.118789034107
0.967370422393,0.0414309786113,0.497085821768,21.0706258381,0.117329204969
0.96678063556,0.0624442916569,0.499942741885,20.5206217465,0.113539469817
0.96969484998,0.0326233278269,0.489485401838,23.2145397727,0.111854281113
0.968108772179,-0.0299493648729,0.46081945176,23.9040146741,0.115707576071
0.962743138758,0.074659125633,0.506240003452,17.9291260388,0.108443645161
0.960184142645,0.0491340391073,0.494023714334,17.3558534995,0.124745563101
0.960178658267,0.058181819821,0.510734838952,16.534753087,0.125941343535
0.961570982438,-0.0131895296547,0.532189323161,16.0960961771,0.125286775357
0.959983730241,0.0493248848798,0.508405823149,16.5644663471,0.120929413221
0.962095785539,0.0791431561339,0.504364783707,17.713072058,0.120033134699
0.96556614409,0.0265709021279,0.519742766492,18.6760480016,0.119629073298
0.962227092026,0.0151298048671,0.529552566964,16.5102258679,0.120803282962
0.968419328913,0.0420408005536,0.461343655113,24.1075032802,0.118029181354
0.966966195421,0.0321881981831,0.501795896353,20.5277182699,0.121235551397
0.967314228034,0.133315879809,0.516097510103,19.9043647571,0.122735445648
0.965547261278,0.053297574024,0.510157637912,19.1965523486,0.125847349704
0.967199208106,0.0529222333783,0.515047407683,19.8944661005,0.124088627134
0.965863108094,0.0236925819002,0.492618770144,20.3845429195,0.123278695902
0.968790661595,0.055659554489,0.512534638988,21.0802901359,0.1154814768
0.968465394472,-0.0073309973961,0.488680932108,22.3467229819,0.119499591756
0.969744267399,0.169225578254,0.490651811951,23.1755762586,0.126244354067
0.967478387733,0.0185328070489,0.506482740145,20.5753151659,0.117654945981
0.965825239053,0.0752396308269,0.503090918903,19.7566145448,0.123079504336
0.969560235745,0.11590980172,0.481863686533,23.6179496341,0.122643661164
0.967587990679,0.0478437784586,0.529642700227,19.2890331135,0.118331190765
0.968051963795,0.0774524886736,0.503872309763,21.110031046,0.11855089477
0.967920224877,0.0379950712758,0.521596218936,19.9616436831,0.115272884388
0.96643754327,0.0130804880411,0.506105554164,19.9483853206,0.113334669239
0.964442675489,0.0729365539717,0.515628777209,18.2949962694,0.112965083484
0.965289873604,0.0296021088892,0.456023628222,22.2270305643,0.114737570056
0.964978480521,0.126265061416,0.476157219691,20.8139706427,0.12103573415
0.965999570909,0.0256798982954,0.480955517907,21.1604660358,0.120935647692
0.967058600676,0.0210745917638,0.506503551229,20.3075050667,0.116097378506
0.967580725719,0.0378161761933,0.4975715214,21.1799694415,0.11244680864
0.9658469506,0.0612266268847,0.501619609199,19.8536779991,0.111406936457
0.965015245894,0.0100453801805,0.48607061446,20.2576083934,0.108762193667
0.955916556223,0.136296766333,0.502086570206,15.2819787227,0.121261357718
0.956097742054,0.0247010029404,0.481407626571,16.2833007255,0.125431504983
0.9555358222,-0.00242717135187,0.490419047291,15.665076088,0.121334540758
0.955125572785,0.0399376047955,0.47935717231,16.015463775,0.119199089389
0.961312298706,0.00293132864159,0.470020605019,19.134724715,0.125499117114
0.962635380999,0.0645344825134,0.497683888581,18.3240486688,0.123169290049
0.969661804776,0.0614063565268,0.458737216579,25.2947185699,0.118230268766
0.969713076346,0.0477475698786,0.496799020566,22.7465000587,0.121398531052
0.967336427792,0.0283764634109,0.502377845168,20.729443975,0.124577034406
0.967196423949,0.104693664625,0.495186153925,21.0717852285,0.127020466752
0.966942561784,0.0522448247654,0.496648904552,20.8194939432,0.128132502126
0.967009368234,0.0839646111537,0.487607941976,21.4100082263,0.122025434411
0.967647598322,0.0733400395452,0.478418842411,22.4180301253,0.119044500028
0.966611720006,0.0992366396072,0.464028689684,22.6102825252,0.121372182241
0.970340152618,0.105288289285,0.477395414213,24.5581084915,0.123599819738
0.968005736201,0.0951557232817,0.512820946449,20.5376592592,0.119730995201
0.970677676597,0.0777606653453,0.512869969057,22.4366476773,0.12038693604
0.964162600681,0.0609660995261,0.517069968,18.072919382,0.121199449011
0.962832771527,0.0479574043629,0.514588137027,17.5413605653,0.122095849076
0.965766137559,0.118047077664,0.532126685288,18.1110844894,0.118940597137
0.964412392492,0.0619594139373,0.508683058689,18.6534069855,0.112629896935
0.96894371161,0.0311252475976,0.49915846439,22.0240578481,0.114665156083
0.967155839208,0.0148048638094,0.464695655949,22.948283411,0.117936505862
0.966960266432,0.0581187689004,0.476875189934,22.0400993516,0.117666717993
0.966159848216,0.0433105729579,0.475016893702,21.6233443728,0.118867729124
0.968177529464,0.0364390607696,0.496003486052,21.6813987815,0.11764408209
0.968346009149,0.0220519443024,0.460775100889,24.0890949491,0.116428881684
0.967688125061,0.097176997261,0.50345328873,20.8937552701,0.109459046459
0.965912122067,0.0266635120998,0.525361956595,18.5589072374,0.110446237191
0.968932624806,0.0384820090092,0.486766113701,22.8126414638,0.106613722437
0.952312056489,0.067076278542,0.517434020108,13.4842293903,0.122802018611
0.953842056112,0.0383200189445,0.510690252426,14.2198925075,0.119524079822
0.956142443346,0.0250483683104,0.470135015016,16.8285988929,0.124581139649
0.956823421863,0.00301782505694,0.490898832698,16.1208650086,0.123178475237
0.959461739868,-0.00854221373043,0.494266606357,17.0283196749,0.123554730172
0.967131810354,0.0237278413656,0.490420946995,21.3189963125,0.11446641505
0.966531545577,-0.00925189190046,0.522138453156,19.0892148896,0.118190850605
0.96447846865,0.0797039998196,0.514919722661,18.3518158668,0.12128222201
0.970009096757,0.0504877275252,0.497821997158,22.9069493772,0.123613450773
0.962903131959,0.0697268395542,0.505774785651,18.0322592335,0.126896689642
0.967026947588,0.0674072560243,0.500985454554,20.6143913652,0.119226165635
0.968860739616,0.0550472856725,0.501174593353,21.837016098,0.115295305703
0.96760911657,0.0777751179309,0.493936539289,21.4215249624,0.118089237365
0.970933712325,0.0410452021271,0.495776680662,23.7864115199,0.124364962621
0.969343305921,0.0245856715981,0.511423331452,21.5361028357,0.123029422046
