A,P,B,R,v
0.980074561886,-0.0219632814812,0.591735291682,26.0697381393,0.107152820708
0.976103279176,-0.0116571032661,0.6248416091,19.4426523657,0.107320857534
0.975133156263,0.0187957376159,0.615754871367,19.2566450313,0.111892564121
0.971086289044,-0.0628689370362,0.614278562326,16.6089851704,0.108835341006
0.973728411463,-0.0462177310095,0.58835239342,19.9238305118,0.110484148871
0.969953714082,-0.057964943153,0.602950096489,16.5838027516,0.11011883926
0.974168097577,-0.0324764457659,0.584096077795,20.5449338192,0.1108498288
0.970375837102,0.0554578887481,0.588984800394,17.6030208118,0.110017075238
0.969553794494,0.0104296224367,0.613524449569,15.8003209285,0.109963050391
0.963486601197,0.027854914926,0.59042902276,14.1653932463,0.112336324793
0.957862861835,0.106262350353,0.586122114014,12.4092662875,0.109333392878
0.955949412409,0.115117031542,0.590087121687,11.7088073902,0.106714671432
0.958905091217,0.034535013161,0.590768473975,12.542689782,0.109717164358
0.95733636938,0.0615501323113,0.573670239116,12.745289062,0.108331018517
0.961574481043,0.0183145862019,0.560546270018,14.7727265045,0.110148327343
0.962969490074,-0.0171617337692,0.553457312599,15.6775775085,0.110868244732
0.970786976022,-0.0035101179015,0.548302048871,20.2686347046,0.113562787481
0.97018868777,0.0972988252598,0.558168590257,19.2664778686,0.108272499042
0.964574304814,0.0992419623733,0.581012949859,15.0542326451,0.10932977911
0.96831924736,0.0393299079109,0.62054056841,14.8217842174,0.105767590561
0.963497411568,0.105151867964,0.568012446069,15.2105602674,0.112017249342
0.95812972153,0.0798423758846,0.572467689135,13.0411872225,0.11296863185
0.954841230672,-0.0294957726137,0.569199989809,12.1947837267,0.112293212808
0.956533850218,0.00777604943104,0.583852316372,12.1088680517,0.108375668686
0.952538283529,0.0689037081667,0.588783248378,10.8935193649,0.108320332578
0.956142210811,0.0860317876763,0.613387191177,10.8979696414,0.109485837876
0.955775546399,0.0491335983452,0.599469345718,11.3129737739,0.106482633165
0.957696438032,-0.0282329505715,0.621698367909,10.9961041377,0.105191147819
0.963379065818,0.0100022429616,0.585438563051,14.3505285437,0.106921562393
0.967711891612,0.00211829640781,0.550002977195,18.2149837126,0.10910650862
0.963904751406,0.0283201178116,0.513469043945,18.131525054,0.122907587897
0.96103283162,0.0804957154188,0.491126896272,17.8896014597,0.123510511302
0.955156554804,0.157098745442,0.495149179997,15.3203112149,0.113754461344
0.947013870098,0.140316066824,0.4892156633,13.1324694969,0.119280695617
0.941134116573,0.110468402113,0.490486727399,11.7415769714,0.122174681955
0.935513409179,0.0581912546723,0.530844928114,9.50025864164,0.123135741494
0.928930291201,0.0523132511932,0.480709840681,9.93591617302,0.122683099709
0.92888751949,0.0593568453701,0.491214424719,9.63667383034,0.118209913777
0.934149907206,0.0264587665655,0.478152777746,10.8315151775,0.116609974604
0.941809767749,0.00653855060647,0.482790075024,12.1459453081,0.11699704746
0.946897731954,-0.0118219809805,0.465204252407,14.0252941043,0.117672024067
0.954015382297,-0.0158092710497,0.490132629055,15.1475714636,0.117701994407
0.957590249793,0.11032936549,0.459884818858,17.9248578955,0.121304365194
0.962628298793,0.0441073446866,0.538181411754,16.2665619402,0.120101948042
0.967717722362,0.00635507039759,0.525965979396,19.5801253477,0.117438748006
0.966145155557,0.0112710503309,0.539687286776,17.907783638,0.115985634901
0.96874071415,0.0329355212668,0.538216844459,19.5065246036,0.114615904017
0.967338976556,0.0727841360722,0.563661284508,17.2648491358,0.112063894978
0.966511360208,0.00341861395053,0.581199742651,15.9314538959,0.114092724509
0.969397233551,0.00567686119286,0.574329788746,17.8422478181,0.115335134209
0.972378293579,0.0150229570876,0.587471930942,18.9903601486,0.115933389204
0.969454609199,0.018957762015,0.587414310859,17.1501303269,0.114512431495
0.968477079974,0.0920674951279,0.575949184635,17.2253477002,0.111058447947
0.966996466292,0.0908762226408,0.554015046327,17.5970121746,0.108013805387
0.967833078287,0.124254726308,0.541518155291,18.760255679,0.111778781737
0.965985728793,0.0491600902395,0.588904622968,15.3004593855,0.108184948512
0.965471079993,0.107712601912,0.596550926472,14.7012931588,0.109040299057
0.95688587518,0.103008235516,0.57921494025,12.3909105334,0.115744723871
0.95563522685,0.00630055530276,0.60210088914,11.1798464244,0.112731148534
0.955315717798,0.0918877796904,0.604270975845,11.0193632887,0.109711662103
0.953819675451,0.0782717720711,0.586867845064,11.2721732632,0.110131446341
0.953874882573,0.0285406194239,0.621083362556,10.0860242286,0.106007333438
0.957488208391,0.0289696553868,0.549416362956,13.7862085838,0.11234630545
0.959182024156,0.0575760523659,0.586684913619,12.7960372289,0.108129692466
0.964366910396,-0.00271231683987,0.595835704793,14.2707045158,0.108932874984
0.969184580642,0.0300060261727,0.555146783557,18.8025231184,0.108444076991
0.974378295491,-0.0249212737129,0.574300272948,21.3673225637,0.10702143236
0.965332102075,0.0870514934258,0.502910740073,19.4807934098,0.116943666866
0.956454051003,0.0906025559161,0.502135047922,15.4727545065,0.122328507148
0.95294408895,0.0666378985669,0.485474020947,14.9926102233,0.118621050019
0.946768311034,0.189036442055,0.472570418663,13.7030451089,0.114418796194
0.939226543473,0.138499996419,0.477175562157,11.8004416761,0.117695345372
0.935108359682,0.137274269654,0.474503154484,11.1112713309,0.123823386205
0.932280908175,0.0246960727395,0.489739801888,10.1806871753,0.12408732739
0.928383223831,0.00460208829995,0.480263455126,9.86965148047,0.12311494912
0.931227892031,0.0474913764952,0.505494967683,9.57481025025,0.121132831934
0.937269532638,0.0415395910088,0.461454552155,11.9376255523,0.114906730706
0.942809974322,0.043450445087,0.483570265348,12.3374448587,0.118003811318
